I_in,Q_in,I_out,Q_out,I_out_actual,Q_out_actual
0.32772962,0.18710188,0.29753968,0.18301035,0.40219232,0.25132105
0.18568327,0.13978484,0.14850259,0.14051518,0.21834758,0.22101106
0.02013741,0.08425953,-0.01426893,0.06691958,0.01362433,0.15689790
-0.13955006,0.03503391,-0.14631243,0.01745781,-0.15799058,0.07674215
-0.26847257,0.00238992,-0.25877339,0.00400061,-0.30562805,0.01435197
-0.35176734,-0.01112369,-0.33741209,0.00405910,-0.41544601,-0.00289965
-0.38672686,-0.01132563,-0.38693711,0.01492852,-0.44777985,-0.01411118
-0.38111264,-0.00993079,-0.38103083,0.01508842,-0.44957002,-0.02755736
-0.34859305,-0.01980912,-0.34108216,-0.00037634,-0.40953837,-0.05160245
-0.30310124,-0.04960126,-0.29096836,-0.03815540,-0.36021452,-0.10462401
-0.25413290,-0.09956966,-0.23515052,-0.08823831,-0.29707881,-0.16484896
-0.20452456,-0.16019342,-0.17490891,-0.13948335,-0.23546735,-0.23036214
-0.15125928,-0.21414090,-0.11354892,-0.17128940,-0.17075908,-0.29163842
-0.08870595,-0.24116059,-0.05640621,-0.19694738,-0.09376031,-0.31843116
-0.01282226,-0.22446477,0.00010930,-0.20169879,0.00111284,-0.29162152
0.07545084,-0.15665174,0.07784090,-0.14930534,0.10736883,-0.20211521
0.16900520,-0.04328455,0.14927039,-0.01694126,0.20826653,-0.06407738
0.25609987,0.09710273,0.22527675,0.13526201,0.30260839,0.10445202
0.32404290,0.23676676,0.28952488,0.24006733,0.39090274,0.26045577
0.36359117,0.34537585,0.34353995,0.33062893,0.45822237,0.36626266
0.37232724,0.39773211,0.35735047,0.36586255,0.47806181,0.42323427
0.35562776,0.38048611,0.34033427,0.35020995,0.45531074,0.41385528
0.32473696,0.29597821,0.30905828,0.27857330,0.39948607,0.34974864
0.29256915,0.16210053,0.26025760,0.16008860,0.34181846,0.22876227
0.26877109,0.00813432,0.23087449,0.03366684,0.30939949,0.06754694
0.25592939,-0.13241285,0.21340808,-0.10745057,0.30087422,-0.09107503
0.24845885,-0.23015072,0.20901503,-0.19460893,0.30445401,-0.20396326
0.23476104,-0.26719477,0.19858909,-0.23917320,0.29141536,-0.26236088
0.20203028,-0.24169690,0.17226747,-0.21317464,0.26702642,-0.23321991
0.14204496,-0.16833321,0.12478518,-0.14298578,0.20353676,-0.14505451
0.05580762,-0.07457935,0.05168877,-0.05006206,0.09912282,-0.04465601
-0.04481692,0.00633526,-0.05282570,0.01383684,-0.02604500,0.03099481
-0.13934033,0.04405585,-0.15333709,0.03233950,-0.14072812,0.05303975
-0.20430137,0.01914954,-0.22439280,0.02080310,-0.22373102,0.01385261
-0.22062204,-0.07148850,-0.23414145,-0.05262248,-0.24889070,-0.09847834
-0.18026532,-0.21331134,-0.18067928,-0.21538450,-0.20629617,-0.25902250
-0.08990021,-0.37732340,-0.09612627,-0.40597677,-0.10852482,-0.45346387
0.02981639,-0.52711303,-0.02816371,-0.56568635,-0.01096153,-0.62515743
0.14932331,-0.62800768,0.02603796,-0.64244527,0.08164818,-0.74647100
0.23814736,-0.65603139,0.09491786,-0.67991322,0.15550734,-0.78465751
0.27336530,-0.60430570,0.16541858,-0.64899451,0.21860802,-0.74131708
0.24591339,-0.48511697,0.18988281,-0.54719210,0.25802242,-0.61166134
0.16280364,-0.32695923,0.15471722,-0.34374639,0.23570696,-0.40807364
0.04462620,-0.16719317,0.04239201,-0.15751107,0.13445857,-0.21137034
-0.08076937,-0.04218850,-0.07794958,-0.02980314,-0.02161346,-0.07309779
-0.18632430,0.02240997,-0.18522403,0.03026529,-0.16254357,-0.00261206
-0.25298075,0.01858033,-0.25829571,0.03639672,-0.26069093,-0.01359949
-0.27386209,-0.04202907,-0.28129774,-0.01806367,-0.29956186,-0.08993246
-0.25433232,-0.13160654,-0.26512289,-0.10932174,-0.28686146,-0.18498171
-0.20826767,-0.21436172,-0.22182128,-0.19861241,-0.23709911,-0.28884034
-0.15212670,-0.25711654,-0.16033566,-0.24578904,-0.17143419,-0.33663572
-0.09906057,-0.23924727,-0.09776929,-0.23819137,-0.10242386,-0.31516531
-0.05515263,-0.15901949,-0.04813878,-0.16315852,-0.03786426,-0.21678289
-0.01899111,-0.03435046,-0.02046460,-0.03976307,-0.00883367,-0.06996417
0.01550690,0.10234052,0.00753018,0.08482251,0.01871168,0.09512603
0.05432215,0.21374689,0.04204040,0.18612821,0.04739358,0.23449765
0.09863059,0.26890830,0.09333108,0.25769448,0.09489890,0.31021947
0.14215757,0.25265538,0.13567436,0.24137799,0.13554852,0.30229500
0.17180607,0.17034170,0.15721728,0.16662529,0.16343701,0.21292414
0.17155312,0.04634633,0.13943526,0.03557300,0.15745042,0.07548343
0.12836878,-0.08325413,0.10947426,-0.10733524,0.12646415,-0.07075146
0.03809717,-0.18161920,0.04339978,-0.19506177,0.03534848,-0.19934680
-0.09086046,-0.22230520,-0.08231718,-0.21388248,-0.10295866,-0.25550627
-0.23756580,-0.19717683,-0.25037149,-0.16977066,-0.27015721,-0.24138983
-0.37258391,-0.11860097,-0.40988743,-0.06142670,-0.42746532,-0.14908361
-0.46504415,-0.01525816,-0.50076997,0.08944501,-0.53138466,-0.01550600
-0.49071724,0.07706718,-0.52145910,0.20276232,-0.56122328,0.09828393
-0.43874251,0.12676470,-0.46144307,0.22174284,-0.50749435,0.14803115
-0.31503003,0.11615377,-0.32454118,0.14853878,-0.38429165,0.10772663
-0.14136187,0.04665383,-0.14654584,0.03888702,-0.19075370,0.00981099
0.04951237,-0.06217467,0.03588536,-0.05706568,0.03629100,-0.09879368
0.22135958,-0.17925721,0.19895414,-0.16597895,0.22995348,-0.21717984
0.34245565,-0.27201143,0.32148692,-0.30429903,0.37110794,-0.33371879
0.39202247,-0.31640337,0.35566029,-0.36187479,0.42178596,-0.39395597
