I_in,Q_in,I_out,Q_out,I_out_actual,Q_out_actual,I_out_ideal,Q_out_ideal
0.32772962,0.18710188,1.76011205,0.86950713,0.40219232,0.25132105,0.32772962,0.18710188
0.18568327,0.13978484,0.61887497,1.70466506,0.21834758,0.22101106,0.18568327,0.13978484
0.02013741,0.08425953,-0.25135347,0.60063601,0.01362433,0.15689790,0.02013741,0.08425953
-0.13955006,0.03503391,-1.67634451,0.51562995,-0.15799058,0.07674215,-0.13955006,0.03503391
-0.26847257,0.00238992,-2.25930238,0.64493626,-0.30562805,0.01435197,-0.26847257,0.00238992
-0.35176734,-0.01112369,-2.23388481,0.60320491,-0.41544601,-0.00289965,-0.35176734,-0.01112369
-0.38672686,-0.01132563,-2.21572113,0.59509212,-0.44777985,-0.01411118,-0.38672686,-0.01132563
-0.38111264,-0.00993079,-2.42756820,0.96585411,-0.44957002,-0.02755736,-0.38111264,-0.00993079
-0.34859305,-0.01980912,-2.58626461,1.60052097,-0.40953837,-0.05160245,-0.34859305,-0.01980912
-0.30310124,-0.04960126,0.54846495,2.37523794,-0.36021452,-0.10462401,-0.30310124,-0.04960126
-0.25413290,-0.09956966,0.55363643,2.35656881,-0.29707881,-0.16484896,-0.25413290,-0.09956966
-0.20452456,-0.16019342,-0.47768232,-1.35664010,-0.23546735,-0.23036214,-0.20452456,-0.16019342
-0.15125928,-0.21414090,-0.18508178,-2.39088798,-0.17075908,-0.29163842,-0.15125928,-0.21414090
-0.08870595,-0.24116059,-0.05716394,-2.44574189,-0.09376031,-0.31843116,-0.08870595,-0.24116059
-0.01282226,-0.22446477,0.00919906,-2.48208213,0.00111284,-0.29162152,-0.01282226,-0.22446477
0.07545084,-0.15665174,0.17527416,-1.95688426,0.10736883,-0.20211521,0.07545084,-0.15665174
0.16900520,-0.04328455,1.31372631,-0.88846499,0.20826653,-0.06407738,0.16900520,-0.04328455
0.25609987,0.09710273,1.69362068,0.56656808,0.30260839,0.10445202,0.25609987,0.09710273
0.32404290,0.23676676,2.24335194,1.15408003,0.39090274,0.26045577,0.32404290,0.23676676
0.36359117,0.34537585,0.36344719,3.13798618,0.45822237,0.36626266,0.36359117,0.34537585
0.37232724,0.39773211,0.25648326,3.14765763,0.47806181,0.42323427,0.37232724,0.39773211
