I_in,Q_in,I_out,Q_out,I_out_actual,Q_out_actual,I_out_ideal,Q_out_ideal
0.32772962,0.18710188,-0.00036386,0.00069551,0.40219232,0.25132105,0.32772962,0.18710188
0.18568327,0.13978484,-0.00036386,0.00069552,0.21834758,0.22101106,0.18568327,0.13978484
0.02013741,0.08425953,-0.00036386,0.00069552,0.01362433,0.15689790,0.02013741,0.08425953
-0.13955006,0.03503391,-0.00036386,0.00069552,-0.15799058,0.07674215,-0.13955006,0.03503391
-0.26847257,0.00238992,-0.00036386,0.00069551,-0.30562805,0.01435197,-0.26847257,0.00238992
-0.35176734,-0.01112369,-0.00036386,0.00069552,-0.41544601,-0.00289965,-0.35176734,-0.01112369
-0.38672686,-0.01132563,-0.00036386,0.00069552,-0.44777985,-0.01411118,-0.38672686,-0.01132563
-0.38111264,-0.00993079,-0.00036386,0.00069552,-0.44957002,-0.02755736,-0.38111264,-0.00993079
-0.34859305,-0.01980912,-0.00036386,0.00069552,-0.40953837,-0.05160245,-0.34859305,-0.01980912
-0.30310124,-0.04960126,-0.00036386,0.00069552,-0.36021452,-0.10462401,-0.30310124,-0.04960126
-0.25413290,-0.09956966,-0.00036386,0.00069552,-0.29707881,-0.16484896,-0.25413290,-0.09956966
-0.20452456,-0.16019342,-0.00036386,0.00069552,-0.23546735,-0.23036214,-0.20452456,-0.16019342
-0.15125928,-0.21414090,-0.00036386,0.00069552,-0.17075908,-0.29163842,-0.15125928,-0.21414090
-0.08870595,-0.24116059,-0.00036386,0.00069552,-0.09376031,-0.31843116,-0.08870595,-0.24116059
-0.01282226,-0.22446477,-0.00036386,0.00069551,0.00111284,-0.29162152,-0.01282226,-0.22446477
0.07545084,-0.15665174,-0.00036386,0.00069552,0.10736883,-0.20211521,0.07545084,-0.15665174
0.16900520,-0.04328455,-0.00036386,0.00069552,0.20826653,-0.06407738,0.16900520,-0.04328455
0.25609987,0.09710273,-0.00036386,0.00069552,0.30260839,0.10445202,0.25609987,0.09710273
0.32404290,0.23676676,-0.00036386,0.00069552,0.39090274,0.26045577,0.32404290,0.23676676
0.36359117,0.34537585,-0.00036386,0.00069552,0.45822237,0.36626266,0.36359117,0.34537585
0.37232724,0.39773211,-0.00036386,0.00069552,0.47806181,0.42323427,0.37232724,0.39773211
0.35562776,0.38048611,-0.00036386,0.00069552,0.45531074,0.41385528,0.35562776,0.38048611
0.32473696,0.29597821,-0.00036386,0.00069552,0.39948607,0.34974864,0.32473696,0.29597821
0.29256915,0.16210053,-0.00036386,0.00069552,0.34181846,0.22876227,0.29256915,0.16210053
0.26877109,0.00813432,-0.00036386,0.00069552,0.30939949,0.06754694,0.26877109,0.00813432
0.25592939,-0.13241285,-0.00036386,0.00069552,0.30087422,-0.09107503,0.25592939,-0.13241285
0.24845885,-0.23015072,-0.00036386,0.00069552,0.30445401,-0.20396326,0.24845885,-0.23015072
0.23476104,-0.26719477,-0.00036386,0.00069552,0.29141536,-0.26236088,0.23476104,-0.26719477
0.20203028,-0.24169690,-0.00036386,0.00069552,0.26702642,-0.23321991,0.20203028,-0.24169690
0.14204496,-0.16833321,-0.00036386,0.00069552,0.20353676,-0.14505451,0.14204496,-0.16833321
0.05580762,-0.07457935,-0.00036386,0.00069552,0.09912282,-0.04465601,0.05580762,-0.07457935
-0.04481692,0.00633526,-0.00036386,0.00069552,-0.02604500,0.03099481,-0.04481692,0.00633526
-0.13934033,0.04405585,-0.00036386,0.00069551,-0.14072812,0.05303975,-0.13934033,0.04405585
-0.20430137,0.01914954,-0.00036386,0.00069552,-0.22373102,0.01385261,-0.20430137,0.01914954
-0.22062204,-0.07148850,-0.00036386,0.00069551,-0.24889070,-0.09847834,-0.22062204,-0.07148850
-0.18026532,-0.21331134,-0.00036386,0.00069552,-0.20629617,-0.25902250,-0.18026532,-0.21331134
-0.08990021,-0.37732340,-0.00036386,0.00069552,-0.10852482,-0.45346387,-0.08990021,-0.37732340
0.02981639,-0.52711303,-0.00036386,0.00069552,-0.01096153,-0.62515743,0.02981639,-0.52711303
0.14932331,-0.62800768,-0.00036386,0.00069552,0.08164818,-0.74647100,0.14932331,-0.62800768
0.23814736,-0.65603139,-0.00036386,0.00069552,0.15550734,-0.78465751,0.23814736,-0.65603139
0.27336530,-0.60430570,-0.00036386,0.00069552,0.21860802,-0.74131708,0.27336530,-0.60430570
0.24591339,-0.48511697,-0.00036386,0.00069552,0.25802242,-0.61166134,0.24591339,-0.48511697
0.16280364,-0.32695923,-0.00036386,0.00069552,0.23570696,-0.40807364,0.16280364,-0.32695923
0.04462620,-0.16719317,-0.00036386,0.00069551,0.13445857,-0.21137034,0.04462620,-0.16719317
-0.08076937,-0.04218850,-0.00036386,0.00069552,-0.02161346,-0.07309779,-0.08076937,-0.04218850
-0.18632430,0.02240997,-0.00036386,0.00069552,-0.16254357,-0.00261206,-0.18632430,0.02240997
-0.25298075,0.01858033,-0.00036386,0.00069552,-0.26069093,-0.01359949,-0.25298075,0.01858033
-0.27386209,-0.04202907,-0.00036386,0.00069552,-0.29956186,-0.08993246,-0.27386209,-0.04202907
-0.25433232,-0.13160654,-0.00036386,0.00069552,-0.28686146,-0.18498171,-0.25433232,-0.13160654
-0.20826767,-0.21436172,-0.00036386,0.00069552,-0.23709911,-0.28884034,-0.20826767,-0.21436172
-0.15212670,-0.25711654,-0.00036386,0.00069552,-0.17143419,-0.33663572,-0.15212670,-0.25711654
-0.09906057,-0.23924727,-0.00036386,0.00069552,-0.10242386,-0.31516531,-0.09906057,-0.23924727
-0.05515263,-0.15901949,-0.00036386,0.00069551,-0.03786426,-0.21678289,-0.05515263,-0.15901949
-0.01899111,-0.03435046,-0.00036386,0.00069552,-0.00883367,-0.06996417,-0.01899111,-0.03435046
0.01550690,0.10234052,-0.00036386,0.00069551,0.01871168,0.09512603,0.01550690,0.10234052
0.05432215,0.21374689,-0.00036386,0.00069551,0.04739358,0.23449765,0.05432215,0.21374689
0.09863059,0.26890830,-0.00036386,0.00069551,0.09489890,0.31021947,0.09863059,0.26890830
0.14215757,0.25265538,-0.00036386,0.00069552,0.13554852,0.30229500,0.14215757,0.25265538
0.17180607,0.17034170,-0.00036386,0.00069552,0.16343701,0.21292414,0.17180607,0.17034170
0.17155312,0.04634633,-0.00036386,0.00069552,0.15745042,0.07548343,0.17155312,0.04634633
0.12836878,-0.08325413,-0.00036386,0.00069551,0.12646415,-0.07075146,0.12836878,-0.08325413
