I_in,Q_in,I_out,Q_out,I_out_actual,Q_out_actual,I_out_ideal,Q_out_ideal
0.32772962,0.18710188,0.40977645,0.12106477,0.40219232,0.25132105,0.35754522,0.20412370
0.18568327,0.13978484,0.38971677,0.12983485,0.21834758,0.22101106,0.20257602,0.15250193
0.02013741,0.08425953,0.35046667,0.14746889,0.01362433,0.15689790,0.02196943,0.09192514
-0.13955006,0.03503391,0.22180039,0.20272005,-0.15799058,0.07674215,-0.15224579,0.03822116
-0.26847257,0.00238992,-0.14619161,0.15106419,-0.30562805,0.01435197,-0.29289719,0.00260735
-0.35176734,-0.01112369,-1.77125084,0.03871862,-0.41544601,-0.00289965,-0.38376979,-0.01213569
-0.38672686,-0.01132563,-2.38598251,-0.19337665,-0.44777985,-0.01411118,-0.42190981,-0.01235599
-0.38111264,-0.00993079,-2.34665632,-0.11640847,-0.44957002,-0.02755736,-0.41578482,-0.01083425
-0.34859305,-0.01980912,-1.91829121,0.07370984,-0.40953837,-0.05160245,-0.38030672,-0.02161128
-0.30310124,-0.04960126,-0.70391798,0.11422215,-0.36021452,-0.10462401,-0.33067624,-0.05411379
-0.25413290,-0.09956966,-0.18876667,0.02754104,-0.29707881,-0.16484896,-0.27725295,-0.10862813
-0.20452456,-0.16019342,-0.09893839,-0.02784175,-0.23546735,-0.23036214,-0.22313143,-0.17476720
-0.15125928,-0.21414090,0.00305616,-0.09077657,-0.17075908,-0.29163842,-0.16502027,-0.23362262
-0.08870595,-0.24116059,0.10234728,-0.09237035,-0.09376031,-0.31843116,-0.09677608,-0.26310046
-0.01282226,-0.22446477,0.20430690,-0.07107997,0.00111284,-0.29162152,-0.01398878,-0.24488573
0.07545084,-0.15665174,0.35805047,-0.06089065,0.10736883,-0.20211521,0.08231507,-0.17090332
0.16900520,-0.04328455,0.42905813,-0.01590032,0.20826653,-0.06407738,0.18438065,-0.04722241
0.25609987,0.09710273,0.42759567,0.05570412,0.30260839,0.10445202,0.27939887,0.10593677
0.32404290,0.23676676,0.41579053,0.15784194,0.39090274,0.26045577,0.35352309,0.25830690
0.36359117,0.34537585,0.36746255,0.32229871,0.45822237,0.36626266,0.39666931,0.37679683
0.37232724,0.39773211,0.28530228,0.39117104,0.47806181,0.42323427,0.40620015,0.43391627
0.35562776,0.38048611,0.28352547,0.39257237,0.45531074,0.41385528,0.38798142,0.41510129
0.32473696,0.29597821,0.37788653,0.29991975,0.39948607,0.34974864,0.35428030,0.32290518
0.29256915,0.16210053,0.42550045,0.10166591,0.34181846,0.22876227,0.31918598,0.17684782
0.26877109,0.00813432,0.45095664,0.00013141,0.30939949,0.06754694,0.29322286,0.00887435
0.25592939,-0.13241285,0.42792040,-0.04586607,0.30087422,-0.09107503,0.27921287,-0.14445927
0.24845885,-0.23015072,0.41437635,-0.05365982,0.30445401,-0.20396326,0.27106270,-0.25108896
0.23476104,-0.26719477,0.41198701,-0.05674154,0.29141536,-0.26236088,0.25611871,-0.29150314
0.20203028,-0.24169690,0.41506863,-0.05461226,0.26702642,-0.23321991,0.22041022,-0.26368556
0.14204496,-0.16833321,0.42891601,-0.04926922,0.20353676,-0.14505451,0.15496768,-0.18364753
0.05580762,-0.07457935,0.42557523,0.00715986,0.09912282,-0.04465601,0.06088479,-0.08136430
-0.04481692,0.00633526,0.32963461,0.10333645,-0.02604500,0.03099481,-0.04889419,0.00691162
-0.13934033,0.04405585,0.22164382,0.18194637,-0.14072812,0.05303975,-0.15201698,0.04806388
-0.20430137,0.01914954,0.08963226,0.20546287,-0.22373102,0.01385261,-0.22288793,0.02089170
-0.22062204,-0.07148850,-0.06661294,0.10493325,-0.24889070,-0.09847834,-0.24069339,-0.07799226
-0.18026532,-0.21331134,-0.03160185,-0.04664542,-0.20629617,-0.25902250,-0.19666518,-0.23271759
-0.08990021,-0.37732340,0.17546199,-0.07805148,-0.10852482,-0.45346387,-0.09807899,-0.41165085
0.02981639,-0.52711303,0.37334913,-0.08050909,-0.01096153,-0.62515743,0.03252897,-0.57506777
0.14932331,-0.62800768,0.42336440,-0.07174996,0.08164818,-0.74647100,0.16290818,-0.68514144
0.23814736,-0.65603139,0.43700168,-0.07007382,0.15550734,-0.78465751,0.25981310,-0.71571463
0.27336530,-0.60430570,0.43486911,-0.06698838,0.21860802,-0.74131708,0.29823503,-0.65928313
0.24591339,-0.48511697,0.42727947,-0.06303156,0.25802242,-0.61166134,0.26828566,-0.52925107
