I_in,Q_in,I_out,Q_out,I_out_ideal,Q_out_ideal
0.32772962,0.18710188,0.47309411,0.34002569,3.27729624,1.87101882
0.18568327,0.13978484,0.43008891,0.40117213,1.85683266,1.39784838
0.02013741,0.08425953,0.05728406,0.34592775,0.20137406,0.84259532
-0.13955006,0.03503391,-0.32323584,0.12609676,-1.39550059,0.35033913
-0.26847257,0.00238992,-0.56329119,0.05191855,-2.68472571,0.02389922
-0.35176734,-0.01112369,-0.61710000,0.03914073,-3.51767338,-0.11123694
-0.38672686,-0.01132563,-0.61548859,0.03634450,-3.86726864,-0.11325628
-0.38111264,-0.00993079,-0.59878594,0.03751065,-3.81112636,-0.09930789
-0.34859305,-0.01980912,-0.58666921,0.03687801,-3.48593051,-0.19809124
-0.30310124,-0.04960126,-0.56322485,-0.00957196,-3.03101242,-0.49601256
-0.25413290,-0.09956966,-0.47018239,-0.13780735,-2.54132900,-0.99569665
-0.20452456,-0.16019342,-0.29305115,-0.29987308,-2.04524562,-1.60193416
-0.15125928,-0.21414090,-0.17627615,-0.38251361,-1.51259280,-2.14140898
-0.08870595,-0.24116059,-0.08960185,-0.42301384,-0.88705953,-2.41160587
-0.01282226,-0.22446477,-0.00328340,-0.42564541,-0.12822263,-2.24464774
0.07545084,-0.15665174,0.07866588,-0.35096097,0.75450843,-1.56651742
0.16900520,-0.04328455,0.26261356,-0.03105661,1.69005197,-0.43284550
0.25609987,0.09710273,0.57571065,0.34470257,2.56099874,0.97102730
0.32404290,0.23676676,0.52584553,0.45549399,3.24042901,2.36766756
0.36359117,0.34537585,0.48553565,0.50514263,3.63591169,3.45375852
0.37232724,0.39773211,0.46234107,0.52731222,3.72327236,3.97732112
0.35562776,0.38048611,0.46010372,0.52461302,3.55627759,3.80486108
0.32473696,0.29597821,0.48881927,0.48771951,3.24736963,2.95978206
0.29256915,0.16210053,0.57119238,0.38545859,2.92569151,1.62100531
0.26877109,0.00813432,0.69684559,0.09391993,2.68771085,0.08134317
0.25592939,-0.13241285,0.49814299,-0.37815851,2.55929391,-1.32412852
0.24845885,-0.23015072,0.41333881,-0.49539340,2.48458853,-2.30150724
0.23476104,-0.26719477,0.37885451,-0.52464563,2.34761044,-2.67194773
0.20203028,-0.24169690,0.34119853,-0.52542388,2.02030277,-2.41696896
0.14204496,-0.16833321,0.25857994,-0.48393247,1.42044964,-1.68333211
0.05580762,-0.07457935,0.09666066,-0.26136056,0.55807624,-0.74579350
-0.04481692,0.00633526,-0.09518275,-0.00092389,-0.44816915,0.06335262
-0.13934033,0.04405585,-0.33316225,0.11236308,-1.39340328,0.44055851
-0.20430137,0.01914954,-0.52333272,0.04719739,-2.04301372,0.19149544
-0.22062204,-0.07148850,-0.36138093,-0.19464517,-2.20622040,-0.71488504
-0.18026532,-0.21331134,-0.15580533,-0.38436645,-1.80265321,-2.13311339
-0.08990021,-0.37732340,-0.03156076,-0.56861567,-0.89900206,-3.77323398
0.02981639,-0.52711303,0.11388272,-0.64981061,0.29816386,-5.27113030
0.14932331,-0.62800768,0.23397966,-0.66723949,1.49323315,-6.28007684
0.23814736,-0.65603139,0.30813202,-0.65199751,2.38147361,-6.56031385
0.27336530,-0.60430570,0.35254261,-0.63184965,2.73365297,-6.04305696
0.24591339,-0.48511697,0.36864236,-0.61249596,2.45913391,-4.85116969
0.16280364,-0.32695923,0.30118948,-0.59130543,1.62803645,-3.26959227
0.04462620,-0.16719317,0.00510816,-0.40859637,0.44626196,-1.67193173
-0.08076937,-0.04218850,-0.23281656,-0.18385778,-0.80769371,-0.42188497
-0.18632430,0.02240997,-0.53634715,0.07125357,-1.86324296,0.22409969
-0.25298075,0.01858033,-0.58810014,0.10195897,-2.52980750,0.18580332
-0.27386209,-0.04202907,-0.56917256,-0.00541659,-2.73862093,-0.42029073
-0.25433232,-0.13160654,-0.46086773,-0.22619583,-2.54332321,-1.31606541
-0.20826767,-0.21436172,-0.29802528,-0.43183821,-2.08267675,-2.14361715
-0.15212670,-0.25711654,-0.20366664,-0.50885910,-1.52126702,-2.57116541
-0.09906057,-0.23924727,-0.14752394,-0.49996245,-0.99060570,-2.39247273
-0.05515263,-0.15901949,-0.12275117,-0.33491459,-0.55152629,-1.59019486
-0.01899111,-0.03435046,-0.07842801,0.02213549,-0.18991115,-0.34350458
0.01550690,0.10234052,0.01740193,0.41479176,0.15506905,1.02340519
0.05432215,0.21374689,0.11858613,0.53583467,0.54322149,2.13746895
0.09863059,0.26890830,0.18889292,0.54942608,0.98630586,2.68908296
0.14215757,0.25265538,0.27858567,0.53534448,1.42157571,2.52655379
0.17180607,0.17034170,0.38702169,0.46006528,1.71806074,1.70341695
0.17155312,0.04634633,0.48430648,0.30015725,1.71553121,0.46346327
0.12836878,-0.08325413,0.18775088,-0.23373473,1.28368777,-0.83254131
0.03809717,-0.18161920,0.10504751,-0.46367180,0.38097174,-1.81619195
-0.09086046,-0.22230520,-0.06855727,-0.48838136,-0.90860456,-2.22305197
-0.23756580,-0.19717683,-0.28922722,-0.42348763,-2.37565802,-1.97176830
-0.37258391,-0.11860097,-0.54980689,-0.18710303,-3.72583911,-1.18600973
-0.46504415,-0.01525816,-0.61640048,0.01345239,-4.65044152,-0.15258161
-0.49071724,0.07706718,-0.61872435,0.13707989,-4.90717242,0.77067182
-0.43874251,0.12676470,-0.60400230,0.21276297,-4.38742511,1.26764703
-0.31503003,0.11615377,-0.58143061,0.24262767,-3.15030035,1.16153767
-0.14136187,0.04665383,-0.36441219,0.19511773,-1.41361868,0.46653833
0.04951237,-0.06217467,0.06347734,-0.04299246,0.49512366,-0.62174670
0.22135958,-0.17925721,0.51747918,-0.38069972,2.21359575,-1.79257205
0.34245565,-0.27201143,0.58812565,-0.40421361,3.42455654,-2.72011425
0.39202247,-0.31640337,0.60067683,-0.41747981,3.92022475,-3.16403368
0.36365167,-0.30380693,0.56802344,-0.44180977,3.63651667,-3.03806935
0.26522004,-0.24258365,0.48128477,-0.47283939,2.65220040,-2.42583654
0.11578700,-0.15413310,0.24924834,-0.50834233,1.15787002,-1.54133096
-0.05933232,-0.06503087,-0.14408302,-0.26027262,-0.59332322,-0.65030869
-0.23387903,0.00187072,-0.57210404,0.01964791,-2.33879030,0.01870717
-0.38512095,0.03427812,-0.61610180,0.08053084,-3.85120949,0.34278125
-0.49677171,0.03299165,-0.62849975,0.06702700,-4.96771712,0.32991653
-0.56023440,0.00953321,-0.63731462,0.03560475,-5.60234405,0.09533215
-0.57448397,-0.01993897,-0.64317042,0.00075034,-5.74483974,-0.19938969
-0.54507335,-0.04191212,-0.64491844,-0.02629982,-5.45073350,-0.41912124
-0.48266400,-0.05111089,-0.64149648,-0.03829371,-4.82663996,-0.51110890
-0.40126453,-0.05222421,-0.62638825,-0.03788908,-4.01264528,-0.52224211
-0.31617684,-0.05711784,-0.58611345,-0.05220000,-3.16176842,-0.57117844
-0.24162625,-0.07865918,-0.52432793,-0.12416831,-2.41626251,-0.78659180
-0.18822067,-0.12364606,-0.39865723,-0.28947359,-1.88220666,-1.23646057
-0.16066100,-0.18776779,-0.27571008,-0.43318045,-1.60660996,-1.87767794
-0.15635099,-0.25485187,-0.21750660,-0.52023041,-1.56350986,-2.54851874
-0.16556697,-0.30108768,-0.20266815,-0.55706739,-1.65566972,-3.01087678
-0.17355988,-0.30302577,-0.21569104,-0.55256915,-1.73559879,-3.03025771
-0.16441373,-0.24662060,-0.24356847,-0.49080569,-1.64413734,-2.46620602
-0.12584484,-0.13399610,-0.26564804,-0.29448199,-1.25844836,-1.33996099
-0.05363294,0.01477872,-0.14492619,0.10514286,-0.53632938,0.14778725
0.04574856,0.16598621,0.04124926,0.48100919,0.45748557,1.65986213
0.15538224,0.28160478,0.23155808,0.54890049,1.55382245,2.81604776
0.25133917,0.33083374,0.33812729,0.53332555,2.51339172,3.30833737
0.30861969,0.30001355,0.41218513,0.49547249,3.08619692,3.00013545
0.30806626,0.19752484,0.47806689,0.42688113,3.08066261,1.97524838
0.24227019,0.05181698,0.52812696,0.28585476,2.42270195,0.51816975
0.11865581,-0.09702611,0.19430858,-0.27281737,1.18655815,-0.97026110
-0.04132376,-0.20958967,-0.02027753,-0.51692003,-0.41323756,-2.09589667
-0.20682044,-0.25934861,-0.26553726,-0.52763146,-2.06820438,-2.59348610
-0.34484968,-0.24080006,-0.47524303,-0.43430424,-3.44849684,-2.40800064
-0.42817167,-0.17079982,-0.59195030,-0.28152323,-4.28171669,-1.70799822
-0.44160862,-0.08261782,-0.64097160,-0.10097358,-4.41608623,-0.82617823
-0.38510209,-0.01463540,-0.63501126,0.05737978,-3.85102087,-0.14635397
