I_in,Q_in,I_out,Q_out,I_out_actual,Q_out_actual,I_out_ideal,Q_out_ideal
0.32772962,0.18710188,0.40945619,-0.63913798,0.40219232,0.25132105,0.35754522,0.20412370
0.18568327,0.13978484,0.40935859,-0.63900542,0.21834758,0.22101106,0.20257602,0.15250193
0.02013741,0.08425953,0.40936691,-0.63889140,0.01362433,0.15689790,0.02196943,0.09192514
-0.13955006,0.03503391,0.40951765,-0.63882786,-0.15799058,0.07674215,-0.15224579,0.03822116
-0.26847257,0.00238992,0.40981841,-0.63873333,-0.30562805,0.01435197,-0.29289719,0.00260735
-0.35176734,-0.01112369,0.41012859,-0.63859129,-0.41544601,-0.00289965,-0.38376979,-0.01213569
-0.38672686,-0.01132563,0.41030580,-0.63836217,-0.44777985,-0.01411118,-0.42190981,-0.01235599
-0.38111264,-0.00993079,0.41028905,-0.63811070,-0.44957002,-0.02755736,-0.41578482,-0.01083425
-0.34859305,-0.01980912,0.41017765,-0.63792264,-0.40953837,-0.05160245,-0.38030672,-0.02161128
-0.30310124,-0.04960126,0.41010293,-0.63782424,-0.36021452,-0.10462401,-0.33067624,-0.05411379
-0.25413290,-0.09956966,0.41012323,-0.63787550,-0.29707881,-0.16484896,-0.27725295,-0.10862813
-0.20452456,-0.16019342,0.41025573,-0.63805920,-0.23546735,-0.23036214,-0.22313143,-0.17476720
-0.15125928,-0.21414090,0.41049069,-0.63821614,-0.17075908,-0.29163842,-0.16502027,-0.23362262
-0.08870595,-0.24116059,0.41079295,-0.63822925,-0.09376031,-0.31843116,-0.09677608,-0.26310046
-0.01282226,-0.22446477,0.41108644,-0.63799697,0.00111284,-0.29162152,-0.01398878,-0.24488573
0.07545084,-0.15665174,0.41129008,-0.63761318,0.10736883,-0.20211521,0.08231507,-0.17090332
0.16900520,-0.04328455,0.41133231,-0.63728803,0.20826653,-0.06407738,0.18438065,-0.04722241
0.25609987,0.09710273,0.41118625,-0.63717902,0.30260839,0.10445202,0.27939887,0.10593677
0.32404290,0.23676676,0.41094321,-0.63730264,0.39090274,0.26045577,0.35352309,0.25830690
0.36359117,0.34537585,0.41078767,-0.63752729,0.45822237,0.36626266,0.39666931,0.37679683
0.37232724,0.39773211,0.41076219,-0.63774490,0.47806181,0.42323427,0.40620015,0.43391627
0.35562776,0.38048611,0.41083831,-0.63789636,0.45531074,0.41385528,0.38798142,0.41510129
0.32473696,0.29597821,0.41088295,-0.63800943,0.39948607,0.34974864,0.35428030,0.32290518
0.29256915,0.16210053,0.41080081,-0.63811135,0.34181846,0.22876227,0.31918598,0.17684782
0.26877109,0.00813432,0.41058597,-0.63824862,0.30939949,0.06754694,0.29322286,0.00887435
0.25592939,-0.13241285,0.41040331,-0.63834870,0.30087422,-0.09107503,0.27921287,-0.14445927
0.24845885,-0.23015072,0.41033715,-0.63840270,0.30445401,-0.20396326,0.27106270,-0.25108896
0.23476104,-0.26719477,0.41041580,-0.63838851,0.29141536,-0.26236088,0.25611871,-0.29150314
0.20203028,-0.24169690,0.41054019,-0.63836628,0.26702642,-0.23321991,0.22041022,-0.26368556
0.14204496,-0.16833321,0.41055837,-0.63844019,0.20353676,-0.14505451,0.15496768,-0.18364753
0.05580762,-0.07457935,0.41039121,-0.63865769,0.09912282,-0.04465601,0.06088479,-0.08136430
