I_in,Q_in,I_out,Q_out,I_out_actual,Q_out_actual
0.32772962,0.18710188,0.38259035,0.26839823,0.40219232,0.25132105
0.18568327,0.13978484,0.23364773,0.19739795,0.21834758,0.22101106
0.02013741,0.08425953,0.06935083,0.10513032,0.01362433,0.15689790
-0.13955006,0.03503391,-0.07846153,0.01452304,-0.15799058,0.07674215
-0.26847257,0.00238992,-0.20120044,-0.03608254,-0.30562805,0.01435197
-0.35176734,-0.01112369,-0.30180293,-0.04031012,-0.41544601,-0.00289965
-0.38672686,-0.01132563,-0.35083607,-0.02530996,-0.44777985,-0.01411118
-0.38111264,-0.00993079,-0.35071051,-0.01399350,-0.44957002,-0.02755736
-0.34859305,-0.01980912,-0.32313606,-0.02419255,-0.40953837,-0.05160245
-0.30310124,-0.04960126,-0.27628008,-0.06232480,-0.36021452,-0.10462401
-0.25413290,-0.09956966,-0.21605317,-0.11792378,-0.29707881,-0.16484896
-0.20452456,-0.16019342,-0.15789764,-0.17025910,-0.23546735,-0.23036214
-0.15125928,-0.21414090,-0.10397814,-0.20932388,-0.17075908,-0.29163842
-0.08870595,-0.24116059,-0.02502869,-0.23428717,-0.09376031,-0.31843116
-0.01282226,-0.22446477,0.04675500,-0.22445072,0.00111284,-0.29162152
0.07545084,-0.15665174,0.13477904,-0.15671328,0.10736883,-0.20211521
0.16900520,-0.04328455,0.21696502,-0.04431772,0.20826653,-0.06407738
0.25609987,0.09710273,0.29962951,0.11090585,0.30260839,0.10445202
0.32404290,0.23676676,0.38625139,0.26907331,0.39090274,0.26045577
0.36359117,0.34537585,0.45032921,0.37256843,0.45822237,0.36626266
0.37232724,0.39773211,0.47217223,0.40828481,0.47806181,0.42323427
0.35562776,0.38048611,0.45134673,0.36647815,0.45531074,0.41385528
0.32473696,0.29597821,0.40183255,0.28778246,0.39948607,0.34974864
0.29256915,0.16210053,0.33460385,0.16616391,0.34181846,0.22876227
0.26877109,0.00813432,0.30185977,0.03955806,0.30939949,0.06754694
0.25592939,-0.13241285,0.28785113,-0.09680993,0.30087422,-0.09107503
0.24845885,-0.23015072,0.25940543,-0.20311297,0.30445401,-0.20396326
0.23476104,-0.26719477,0.23121892,-0.26669696,0.29141536,-0.26236088
0.20203028,-0.24169690,0.20965379,-0.23489428,0.26702642,-0.23321991
0.14204496,-0.16833321,0.17110839,-0.15303425,0.20353676,-0.14505451
0.05580762,-0.07457935,0.07512974,-0.06467568,0.09912282,-0.04465601
-0.04481692,0.00633526,-0.04083264,0.02435656,-0.02604500,0.03099481
-0.13934033,0.04405585,-0.13027757,0.06783504,-0.14072812,0.05303975
-0.20430137,0.01914954,-0.19406889,0.03606680,-0.22373102,0.01385261
-0.22062204,-0.07148850,-0.22209039,-0.07952098,-0.24889070,-0.09847834
-0.18026532,-0.21331134,-0.19855285,-0.23489152,-0.20629617,-0.25902250
-0.08990021,-0.37732340,-0.13860212,-0.42498875,-0.10852482,-0.45346387
0.02981639,-0.52711303,-0.05827084,-0.58913720,-0.01096153,-0.62515743
0.14932331,-0.62800768,0.05914042,-0.65751970,0.08164818,-0.74647100
0.23814736,-0.65603139,0.16260819,-0.65188843,0.15550734,-0.78465751
0.27336530,-0.60430570,0.20888214,-0.59338444,0.21860802,-0.74131708
0.24591339,-0.48511697,0.19826378,-0.47566029,0.25802242,-0.61166134
0.16280364,-0.32695923,0.15639226,-0.29217637,0.23570696,-0.40807364
0.04462620,-0.16719317,0.04713302,-0.13279878,0.13445857,-0.21137034
-0.08076937,-0.04218850,-0.07079521,-0.03075235,-0.02161346,-0.07309779
-0.18632430,0.02240997,-0.15641111,0.01864831,-0.16254357,-0.00261206
-0.25298075,0.01858033,-0.20921332,0.01471942,-0.26069093,-0.01359949
-0.27386209,-0.04202907,-0.23210125,-0.04248690,-0.29956186,-0.08993246
-0.25433232,-0.13160654,-0.22527391,-0.10715468,-0.28686146,-0.18498171
-0.20826767,-0.21436172,-0.18629210,-0.17103489,-0.23709911,-0.28884034
-0.15212670,-0.25711654,-0.15007423,-0.21138668,-0.17143419,-0.33663572
-0.09906057,-0.23924727,-0.10607305,-0.18018264,-0.10242386,-0.31516531
-0.05515263,-0.15901949,-0.08501750,-0.10057395,-0.03786426,-0.21678289
-0.01899111,-0.03435046,-0.06727279,0.01104239,-0.00883367,-0.06996417
0.01550690,0.10234052,-0.03150447,0.14097142,0.01871168,0.09512603
0.05432215,0.21374689,0.02263797,0.26192087,0.04739358,0.23449765
0.09863059,0.26890830,0.07990514,0.33343083,0.09489890,0.31021947
0.14215757,0.25265538,0.12805831,0.32274726,0.13554852,0.30229500
0.17180607,0.17034170,0.15258174,0.24361664,0.16343701,0.21292414
0.17155312,0.04634633,0.14831668,0.10717094,0.15745042,0.07548343
0.12836878,-0.08325413,0.12044515,-0.03142668,0.12646415,-0.07075146
0.03809717,-0.18161920,0.03687950,-0.13579032,0.03534848,-0.19934680
-0.09086046,-0.22230520,-0.09862921,-0.18723153,-0.10295866,-0.25550627
-0.23756580,-0.19717683,-0.25138146,-0.15569985,-0.27015721,-0.24138983
-0.37258391,-0.11860097,-0.39935809,-0.06832032,-0.42746532,-0.14908361
-0.46504415,-0.01525816,-0.50317931,0.03470080,-0.53138466,-0.01550600
-0.49071724,0.07706718,-0.53660810,0.12945907,-0.56122328,0.09828393
-0.43874251,0.12676470,-0.48088181,0.16238146,-0.50749435,0.14803115
-0.31503003,0.11615377,-0.31830406,0.12207767,-0.38429165,0.10772663
-0.14136187,0.04665383,-0.13499248,0.05620099,-0.19075370,0.00981099
0.04951237,-0.06217467,0.08462137,-0.06441266,0.03629100,-0.09879368
0.22135958,-0.17925721,0.26547578,-0.22033444,0.22995348,-0.21717984
0.34245565,-0.27201143,0.37533051,-0.36730605,0.37110794,-0.33371879
0.39202247,-0.31640337,0.40096384,-0.42387483,0.42178596,-0.39395597
0.36365167,-0.30380693,0.36042100,-0.36326033,0.40194913,-0.37193358
0.26522004,-0.24258365,0.25879782,-0.21810436,0.32613997,-0.28041304
0.11578700,-0.15413310,0.13359778,-0.09803613,0.17813042,-0.15324507
-0.05933232,-0.06503087,-0.04914020,-0.01840393,-0.02163434,-0.06112920
-0.23387903,0.00187072,-0.24011588,0.01835149,-0.22390809,-0.00510087
-0.38512095,0.03427812,-0.40932897,0.03484996,-0.41037582,0.02776985
-0.49677171,0.03299165,-0.51725870,0.05590999,-0.55451995,0.05727330
-0.56023440,0.00953321,-0.55624688,0.05512908,-0.63372697,0.05352661
-0.57448397,-0.01993897,-0.54996008,0.03720718,-0.65883600,0.02271586
-0.54507335,-0.04191212,-0.51216674,0.00739835,-0.64071415,-0.01860527
-0.48266400,-0.05111089,-0.44731212,-0.02855026,-0.58403636,-0.05440485
-0.40126453,-0.05222421,-0.36661911,-0.03525049,-0.49362391,-0.08085303
-0.31617684,-0.05711784,-0.27112988,-0.05737440,-0.39371677,-0.10546647
-0.24162625,-0.07865918,-0.17348845,-0.09418197,-0.30280468,-0.13949162
-0.18822067,-0.12364606,-0.11215769,-0.13735755,-0.23528446,-0.18915849
-0.16066100,-0.18776779,-0.07148321,-0.20263609,-0.20040925,-0.24957253
-0.15635099,-0.25485187,-0.07406859,-0.28136644,-0.19111927,-0.32439585
-0.16556697,-0.30108768,-0.10121486,-0.32586473,-0.19976800,-0.37950211
-0.17355988,-0.30302577,-0.14730622,-0.31751025,-0.20878157,-0.37953205
-0.16441373,-0.24662060,-0.17122053,-0.25543532,-0.19060955,-0.32683564
-0.12584484,-0.13399610,-0.14226082,-0.13916320,-0.13443276,-0.20589210
-0.05363294,0.01477872,-0.07408600,0.00025667,-0.05135121,-0.02915379
0.04574856,0.16598621,0.02230343,0.14278573,0.04507414,0.15352147
0.15538224,0.28160478,0.15086722,0.27534753,0.16853128,0.30347312
0.25133917,0.33083374,0.27198622,0.34817737,0.28656979,0.37165881
0.30861969,0.30001355,0.33178550,0.35738915,0.36329917,0.33518245
0.30806626,0.19752484,0.30441785,0.27148205,0.34902551,0.24923099
0.24227019,0.05181698,0.20867172,0.10713993,0.26722115,0.11006908
0.11865581,-0.09702611,0.10390929,-0.08034024,0.12721761,-0.05306093
-0.04132376,-0.20958967,-0.03806925,-0.22628532,-0.03617153,-0.19447211
-0.20682044,-0.25934861,-0.19516936,-0.28341207,-0.22690064,-0.27131194
-0.34484968,-0.24080006,-0.34454757,-0.25288188,-0.39584576,-0.24618222
-0.42817167,-0.17079982,-0.43305132,-0.14630044,-0.49840992,-0.16980208
-0.44160862,-0.08261782,-0.43529388,-0.02777347,-0.50923471,-0.08190443
-0.38510209,-0.01463540,-0.37467775,0.02768697,-0.44967674,-0.02759022
-0.27281716,0.00261174,-0.28624639,0.01874296,-0.32537204,-0.03223412
-0.12878563,-0.04321241,-0.16862458,-0.05168924,-0.16138192,-0.09138641
0.01944129,-0.14188861,-0.01489479,-0.13778472,0.01548647,-0.19473960
0.14719666,-0.26369653,0.12169286,-0.22861519,0.16114731,-0.32448374
0.23740181,-0.36885107,0.19885270,-0.34976727,0.24988925,-0.44824730
0.28253697,-0.42021723,0.23672096,-0.41192067,0.29348397,-0.51897566
0.28383138,-0.39517172,0.24597862,-0.39563391,0.30838612,-0.48731948
0.24851704,-0.29282541,0.22497477,-0.27130294,0.30552749,-0.35209687
0.18648196,-0.13439755,0.16295317,-0.08878941,0.25675125,-0.14684428
0.10760530,0.04320696,0.06770041,0.08207947,0.16076692,0.05497040
0.02052487,0.19839013,-0.02708260,0.23805240,0.05280593,0.23127657
-0.06717870,0.29681872,-0.09494741,0.32947028,-0.05462718,0.34491735
-0.14807350,0.32059259,-0.16562371,0.34956273,-0.15705403,0.36986521
-0.21424380,0.27194649,-0.23607323,0.28285313,-0.24744517,0.31856055
-0.25775012,0.17070565,-0.29402506,0.15496142,-0.31460810,0.19624059
-0.27240498,0.04676427,-0.31933504,0.02579136,-0.33750304,0.04575334
-0.25633612,-0.06963265,-0.29620770,-0.08184349,-0.31967991,-0.09460153
-0.21422892,-0.15652402,-0.24630576,-0.15281488,-0.27370005,-0.19344021
-0.15800306,-0.20512681,-0.18620762,-0.19330157,-0.19366497,-0.25357019
-0.10508767,-0.21979875,-0.14421570,-0.22018167,-0.12804978,-0.26578331
-0.07430170,-0.21363996,-0.12329946,-0.21793438,-0.08182070,-0.26474079
-0.08032184,-0.20173845,-0.13251200,-0.19852889,-0.08259820,-0.25366219
-0.12845079,-0.19470294,-0.18137193,-0.18034711,-0.13561161,-0.24614092
-0.21157096,-0.19479782,-0.25514087,-0.16248278,-0.22873558,-0.25370547
-0.31065581,-0.19587954,-0.34156013,-0.16829441,-0.35199483,-0.25345173
-0.39913695,-0.18687020,-0.44863176,-0.15860012,-0.47050106,-0.22985282
-0.45013192,-0.15723123,-0.51679391,-0.12204871,-0.53905077,-0.18711911
-0.44447202,-0.10225415,-0.51547480,-0.05722396,-0.52918168,-0.13962710
-0.37702763,-0.02615671,-0.43257105,0.02235594,-0.45188335,-0.07148585
-0.25920701,0.05814774,-0.30276433,0.09899025,-0.31382130,0.00503754
-0.11662103,0.13250488,-0.16993853,0.16354196,-0.15530723,0.09206923
0.01758369,0.17896123,-0.02383974,0.21572536,-0.00798878,0.16040506
0.11181413,0.18531254,0.06669044,0.23235692,0.10333050,0.19008922
0.14480879,0.14891955,0.08824258,0.19600810,0.14238507,0.17316901
0.11142190,0.07761491,0.06137204,0.12152189,0.11181941,0.09895772
0.02365973,-0.01246236,-0.01788120,0.01939839,0.01592042,-0.00326777
-0.09327824,-0.10128101,-0.12779303,-0.08058894,-0.10612774,-0.10281297
-0.20861495,-0.17012567,-0.23007517,-0.16244857,-0.23790554,-0.19263818
-0.29479639,-0.20604699,-0.29915643,-0.20283626,-0.34808047,-0.23460615
-0.33470243,-0.20440967,-0.32710996,-0.19767646,-0.39830548,-0.22995304
-0.32511455,-0.16910704,-0.30821934,-0.14539731,-0.38819680,-0.20493598
-0.27560942,-0.11074476,-0.25752249,-0.08128314,-0.32414448,-0.15109668
-0.20360611,-0.04360297,-0.20583349,-0.01481223,-0.23873387,-0.09508792
-0.12754938,0.01766517,-0.16771075,0.03187313,-0.15251376,-0.02337543
-0.06073315,0.06082365,-0.11511127,0.06850810,-0.08791261,0.03817247
-0.00789202,0.07792575,-0.05532578,0.08877389,-0.02870311,0.07097434
0.03443134,0.06622351,0.01288403,0.09344520,0.01967281,0.06501082
0.07418137,0.02827822,0.06612256,0.07635330,0.06681380,0.03120559
0.11842803,-0.02855214,0.11814804,0.02800328,0.12297986,-0.01497724
0.16861750,-0.09318813,0.16745475,-0.03897032,0.18320567,-0.08709534
0.21842860,-0.15251341,0.20456117,-0.12515502,0.25318891,-0.14580162
0.25519668,-0.19368786,0.21677113,-0.19319902,0.30494924,-0.20007544
0.26446438,-0.20690212,0.23266244,-0.21560754,0.32531558,-0.22206942
0.23596904,-0.18806928,0.24369103,-0.18064255,0.29655807,-0.19697301
0.16874949,-0.14068098,0.21587594,-0.10764655,0.23155986,-0.14048043
0.07329503,-0.07601548,0.12313634,-0.04159974,0.12174200,-0.06902390
-0.03030823,-0.01118500,0.00765114,0.01503692,-0.00541692,-0.00497459
-0.11782114,0.03487815,-0.09938634,0.05825100,-0.11358435,0.03968737
-0.16812303,0.04664872,-0.16014910,0.05603781,-0.18638781,0.04380598
-0.16980799,0.01699279,-0.16382797,0.00994887,-0.19410097,0.00524013
-0.12475917,-0.04974243,-0.12222413,-0.06486675,-0.14523247,-0.06794406
-0.04737267,-0.13781528,-0.03407406,-0.15518996,-0.05535445,-0.15967247
0.04037052,-0.22374393,0.06800306,-0.25502059,0.05079800,-0.25860174
0.11629529,-0.28276079,0.14507556,-0.33013171,0.13763208,-0.32502816
0.16528719,-0.29626172,0.18344454,-0.33640531,0.19995349,-0.34453438
0.18382891,-0.25791576,0.19633834,-0.28136331,0.23015943,-0.30173431
0.18019198,-0.17632685,0.19382799,-0.18507297,0.24050245,-0.20713863
0.17022599,-0.07311151,0.19296283,-0.05604940,0.23006351,-0.07459012
0.17030961,0.02330050,0.19104508,0.05129859,0.22795331,0.03679597
0.19011232,0.08638883,0.20550740,0.10347176,0.23549985,0.11430141
0.22795157,0.10008801,0.24007311,0.10072833,0.27362552,0.13254122
0.27064105,0.06436483,0.28130883,0.05950690,0.32238477,0.09274558
0.29810470,-0.00411708,0.30649024,0.00236408,0.35088221,0.01209504
0.29124742,-0.07665508,0.31306943,-0.04679371,0.34614357,-0.05986568
0.24026990,-0.12116616,0.26579127,-0.08449038,0.29170764,-0.10973703
0.15028473,-0.11218275,0.17818423,-0.07634523,0.20063327,-0.10240794
0.04189079,-0.03903218,0.05897358,-0.02612626,0.06992954,-0.02719352
-0.05394851,0.09040597,-0.04348182,0.09925854,-0.04881094,0.10768242
-0.10536658,0.25155708,-0.08538666,0.27223808,-0.11493237,0.29432720
-0.09040660,0.41000698,-0.04317238,0.45328632,-0.09004917,0.48457463
-0.00553425,0.53114655,0.08546408,0.57308584,0.03100788,0.62193753
0.13122624,0.58955620,0.26481530,0.59987563,0.20904432,0.67048186
0.28394921,0.57526958,0.42243367,0.55384344,0.38603552,0.62326391
0.40846253,0.49518844,0.52644014,0.47687083,0.50338542,0.52191604
0.46517941,0.36958650,0.56749934,0.37886772,0.53772414,0.39390231
0.43113739,0.22524718,0.50738877,0.27815324,0.47536435,0.27146066
0.30741012,0.08777075,0.34328669,0.14484090,0.32341099,0.15167491
0.11945602,-0.02436491,0.16001236,-0.00146913,0.11178116,0.03149419
-0.08981600,-0.10227588,-0.04692684,-0.12085993,-0.10670951,-0.07520322
-0.27217592,-0.14539598,-0.23268956,-0.16643341,-0.30523880,-0.15168245
-0.38766822,-0.15761415,-0.35972419,-0.15405126,-0.45382907,-0.16317113
-0.41550867,-0.14289249,-0.37635460,-0.11595485,-0.48931612,-0.14670993
-0.35902292,-0.10247010,-0.29456684,-0.06999463,-0.42208124,-0.13110067
-0.24330284,-0.03493449,-0.15689017,-0.02183202,-0.27849075,-0.08016126
-0.10657524,0.06090352,-0.01862006,0.06455333,-0.12828283,0.02027167
0.01178737,0.18172096,0.12487049,0.13443412,-0.00271072,0.16607139
0.08275435,0.31613547,0.25562865,0.23914587,0.07046362,0.33126755
0.09511294,0.44393409,0.36469811,0.39408469,0.10594545,0.49237425
0.05689198,0.53911976,0.39791560,0.51252854,0.08977576,0.61024589
-0.00924872,0.57631046,0.33584669,0.55396718,0.03886927,0.66246608
-0.07470546,0.53857838,0.18645509,0.50161028,-0.03982414,0.63824955
-0.11455705,0.42400152,0.03395237,0.35920036,-0.12687755,0.52065213
-0.11493364,0.24837252,-0.08269406,0.13304614,-0.17306118,0.31174168
-0.07594911,0.04266277,-0.07285284,-0.08037890,-0.12391927,0.06496991
-0.00970550,-0.15440218,0.03522336,-0.21921223,-0.02602985,-0.16365173
0.06538902,-0.30655799,0.13034233,-0.31841230,0.07080574,-0.34474388
0.13157945,-0.38982223,0.16853218,-0.38790029,0.14158687,-0.45439524
0.17736939,-0.39872462,0.17237934,-0.39315632,0.19495945,-0.47449910
0.19989271,-0.34686231,0.14294320,-0.33136231,0.24073577,-0.41193915
0.20356594,-0.26156779,0.12028509,-0.21686219,0.26313588,-0.31055649
0.19602431,-0.17446491,0.12726587,-0.12545344,0.26431597,-0.19256464
0.18335871,-0.11109179,0.16393118,-0.04592366,0.24983510,-0.11096177
0.16684101,-0.08308335,0.21120507,-0.02423817,0.23176289,-0.07239114
0.14260611,-0.08550685,0.24631236,-0.04592332,0.20031005,-0.06608861
0.10444850,-0.10013971,0.23703267,-0.08355693,0.15401420,-0.08691014
0.04851020,-0.10340109,0.17741597,-0.10420682,0.08076166,-0.10346646
-0.02226454,-0.07603287,0.09526657,-0.09540058,0.00217761,-0.08295493
-0.09608580,-0.01104129,0.02279701,-0.04283917,-0.08534998,-0.01734444
-0.15402098,0.08293574,-0.02944472,0.04160935,-0.16110345,0.08061011
-0.17533702,0.18401817,-0.06621370,0.13111803,-0.19702935,0.19198222
-0.14486817,0.26435318,-0.07073778,0.21732610,-0.16417279,0.29478458
-0.05980338,0.29965937,-0.01617479,0.27332792,-0.07689612,0.34170478
0.06678359,0.27765636,0.08264110,0.28650877,0.06346423,0.31881225
0.20740704,0.20242110,0.19922356,0.25966147,0.21268552,0.25252458
0.32674433,0.09318932,0.31599364,0.19627172,0.35812827,0.13608630
0.39160929,-0.02189869,0.38329077,0.07265954,0.43273933,0.00222421
0.38129858,-0.11484233,0.34852013,-0.03040984,0.42924052,-0.10405545
0.29493619,-0.16642858,0.25002342,-0.08241066,0.33721399,-0.15948488
0.15322820,-0.17153720,0.17066973,-0.10308124,0.18747922,-0.16222255
-0.00626414,-0.13944531,0.03542308,-0.09616929,0.01423826,-0.13665406
-0.13916678,-0.08931893,-0.08331755,-0.05819005,-0.13683891,-0.10155027
-0.20674861,-0.04279180,-0.14288644,-0.01559574,-0.21804996,-0.06092255
-0.18705870,-0.01648651,-0.12968813,0.01630015,-0.20244327,-0.04251373
-0.08137555,-0.01719479,-0.04940499,0.03892756,-0.08447873,-0.03710940
0.08596054,-0.04128259,0.13024521,0.04520604,0.10629136,-0.05461480
0.27421560,-0.07818146,0.30393037,0.02725518,0.31464031,-0.08960919
0.43733497,-0.11623337,0.47292089,-0.07144574,0.50859850,-0.15409152
0.53605329,-0.14828615,0.55667138,-0.20246483,0.60141979,-0.22361394
0.54750154,-0.17462349,0.57340789,-0.32877299,0.61144008,-0.25615616
0.46971754,-0.20197741,0.52367860,-0.40417933,0.54286770,-0.25771495
0.32017869,-0.23905440,0.38764361,-0.39030647,0.39400896,-0.25724013
0.12935781,-0.29053960,0.25260448,-0.34747180,0.20031691,-0.29754337
-0.06827003,-0.35230695,0.06828780,-0.36730105,-0.01796813,-0.37766449
-0.24281404,-0.41022380,-0.13636583,-0.40015844,-0.23880976,-0.44992884
-0.37467591,-0.44358855,-0.30610928,-0.42039907,-0.41888570,-0.47893392
-0.45616449,-0.43236982,-0.40828979,-0.41229191,-0.53811997,-0.44424328
-0.48933661,-0.36574107,-0.43172291,-0.36007100,-0.56949982,-0.37733277
-0.48163522,-0.24859740,-0.39636439,-0.25067666,-0.55506843,-0.28153284
-0.44143727,-0.10317177,-0.31497297,-0.09558424,-0.49932261,-0.15271679
-0.37531349,0.03554781,-0.22411540,0.04212066,-0.42115450,-0.02322789
-0.28782009,0.12968582,-0.15961617,0.12656657,-0.33627597,0.07477268
-0.18341392,0.15066608,-0.11627007,0.11740021,-0.23423819,0.10463186
-0.06910857,0.08963431,-0.05917020,0.01812763,-0.11077618,0.05012312
0.04384536,-0.03768528,0.05862614,-0.12228391,0.03007413,-0.07194548
0.14054152,-0.19383823,0.19448256,-0.24722777,0.15204576,-0.23541123
0.20552977,-0.32980797,0.27408573,-0.36337337,0.22882383,-0.39472806
0.22754003,-0.39958549,0.31036320,-0.41293764,0.23803648,-0.48378391
0.20402696,-0.37456793,0.28194767,-0.37332335,0.22598172,-0.45814715
0.14356169,-0.25305310,0.20945945,-0.23241620,0.19264075,-0.31015029
0.06471643,-0.06154072,0.08788420,-0.05506686,0.11353662,-0.07822776
-0.00868825,0.15284258,-0.03637282,0.15051095,0.00936770,0.15872746
-0.05471585,0.33656460,-0.05714232,0.34859785,-0.05010715,0.36984784
-0.06054049,0.44608809,0.00057802,0.48789001,-0.04635148,0.50806613
-0.02722712,0.46118927,0.05673514,0.50610602,-0.01218549,0.53726690
0.02981482,0.39087288,0.09507585,0.42669913,0.02045641,0.46349214
0.08519644,0.26994086,0.10516267,0.28647232,0.05502583,0.33281527
0.11157433,0.14730699,0.10685764,0.16684785,0.06537778,0.20488198
0.08883796,0.06983510,0.06755314,0.09057663,0.05378159,0.11729452
0.01142661,0.06692356,-0.00856305,0.06792866,-0.03543047,0.10977882
-0.10877088,0.14079205,-0.11116058,0.10772790,-0.16179219,0.18420902
-0.24510214,0.26554829,-0.20241915,0.23496914,-0.30630059,0.32453205
-0.36376831,0.39525823,-0.26963910,0.41066533,-0.40153270,0.50176686
-0.43406034,0.47836249,-0.29130736,0.51356769,-0.43257686,0.61699873
-0.43797745,0.47381484,-0.29827574,0.54532337,-0.43635104,0.60954761
-0.37612411,0.36388313,-0.29125878,0.45446941,-0.42094792,0.46041665
-0.26794141,0.15974572,-0.24224935,0.16826165,-0.35901773,0.18301655
-0.14613811,-0.10160308,-0.15693843,-0.13197982,-0.22773305,-0.13686741
-0.04704563,-0.36787180,-0.10032475,-0.38799208,-0.10800941,-0.43507715
0.00008384,-0.58592586,-0.11488641,-0.58154148,-0.10463527,-0.68100659
-0.01848994,-0.71568299,-0.16422985,-0.64607173,-0.17611689,-0.79316858
-0.09738659,-0.73942523,-0.22752041,-0.63001227,-0.26768384,-0.79688087
-0.21429723,-0.66419914,-0.30519295,-0.56489050,-0.35125221,-0.70909464
-0.33710078,-0.51727125,-0.39008468,-0.45688823,-0.42353814,-0.56216224
