I_in,Q_in,I_out,Q_out,I_out_actual,Q_out_actual,I_out_ideal,Q_out_ideal
0.32772962,0.18710188,-0.01830668,0.13431205,0.40219232,0.25132105,0.29495666,0.16839169
0.18568327,0.13978484,-0.01830700,0.13431330,0.21834758,0.22101106,0.16711494,0.12580635
0.02013741,0.08425953,-0.01830718,0.13431413,0.01362433,0.15689790,0.01812367,0.07583358
-0.13955006,0.03503391,-0.01830708,0.13431378,-0.15799058,0.07674215,-0.12559505,0.03153052
-0.26847257,0.00238992,-0.01830702,0.13431427,-0.30562805,0.01435197,-0.24162531,0.00215093
-0.35176734,-0.01112369,-0.01830693,0.13431484,-0.41544601,-0.00289965,-0.31659060,-0.01001132
-0.38672686,-0.01132563,-0.01830687,0.13431536,-0.44777985,-0.01411118,-0.34805418,-0.01019307
-0.38111264,-0.00993079,-0.01830700,0.13431656,-0.44957002,-0.02755736,-0.34300137,-0.00893771
-0.34859305,-0.01980912,-0.01830708,0.13431685,-0.40953837,-0.05160245,-0.31373375,-0.01782821
-0.30310124,-0.04960126,-0.01830718,0.13431729,-0.36021452,-0.10462401,-0.27279112,-0.04464113
-0.25413290,-0.09956966,-0.01830731,0.13431774,-0.29707881,-0.16484896,-0.22871961,-0.08961270
-0.20452456,-0.16019342,-0.01830743,0.13431859,-0.23546735,-0.23036214,-0.18407211,-0.14417407
-0.15125928,-0.21414090,-0.01830756,0.13431947,-0.17075908,-0.29163842,-0.13613335,-0.19272681
-0.08870595,-0.24116059,-0.01830761,0.13432054,-0.09376031,-0.31843116,-0.07983536,-0.21704453
-0.01282226,-0.22446477,-0.01830761,0.13432084,0.00111284,-0.29162152,-0.01154004,-0.20201830
0.07545084,-0.15665174,-0.01830756,0.13432045,0.10736883,-0.20211521,0.06790576,-0.14098657
0.16900520,-0.04328455,-0.01830734,0.13431922,0.20826653,-0.06407738,0.15210468,-0.03895609
0.25609987,0.09710273,-0.01830699,0.13431667,0.30260839,0.10445202,0.23048989,0.08739246
0.32404290,0.23676676,-0.01830652,0.13431336,0.39090274,0.26045577,0.29163861,0.21309008
0.36359117,0.34537585,-0.01830605,0.13431026,0.45822237,0.36626266,0.32723205,0.31083827
0.37232724,0.39773211,-0.01830571,0.13430752,0.47806181,0.42323427,0.33509451,0.35795890
0.35562776,0.38048611,-0.01830548,0.13430585,0.45531074,0.41385528,0.32006498,0.34243750
0.32473696,0.29597821,-0.01830545,0.13430500,0.39948607,0.34974864,0.29226327,0.26638039
0.29256915,0.16210053,-0.01830544,0.13430451,0.34181846,0.22876227,0.26331224,0.14589048
0.26877109,0.00813432,-0.01830558,0.13430516,0.30939949,0.06754694,0.24189398,0.00732089
0.25592939,-0.13241285,-0.01830574,0.13430572,0.30087422,-0.09107503,0.23033645,-0.11917157
0.24845885,-0.23015072,-0.01830588,0.13430716,0.30445401,-0.20396326,0.22361297,-0.20713565
0.23476104,-0.26719477,-0.01830614,0.13430901,0.29141536,-0.26236088,0.21128494,-0.24047530
0.20203028,-0.24169690,-0.01830647,0.13431172,0.26702642,-0.23321991,0.18182725,-0.21752721
0.14204496,-0.16833321,-0.01830671,0.13431378,0.20353676,-0.14505451,0.12784047,-0.15149989
0.05580762,-0.07457935,-0.01830676,0.13431375,0.09912282,-0.04465601,0.05022686,-0.06712142
-0.04481692,0.00633526,-0.01830647,0.13431083,-0.02604500,0.03099481,-0.04033522,0.00570174
-0.13934033,0.04405585,-0.01830600,0.13430709,-0.14072812,0.05303975,-0.12540629,0.03965027
-0.20430137,0.01914954,-0.01830557,0.13430329,-0.22373102,0.01385261,-0.18387123,0.01723459
-0.22062204,-0.07148850,-0.01830521,0.13430107,-0.24889070,-0.09847834,-0.19855984,-0.06433965
-0.18026532,-0.21331134,-0.01830511,0.13430096,-0.20629617,-0.25902250,-0.16223879,-0.19198021
-0.08990021,-0.37732340,-0.01830519,0.13430201,-0.10852482,-0.45346387,-0.08091019,-0.33959106
